Customer Id,Artist Name,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Scheduled Date,Delivery Date,Customer Location,Cost
fffe3900350033003300,Billy Jenkins,0.26,17,6,4128,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,No,06-07-2015,06-03-2015,"New Michelle, OH 50777",-283.29
fffe3800330031003900,Jean Bryant,0.28,3,3,61,Brass,6.83,15,No,No,No,Roadways,No,Working Class,No,03-06-2017,03-05-2017,"New Michaelport, WY 12072",-159.96
fffe3600370035003100,Laura Miller,0.07,8,5,237,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes,03-09-2015,03-08-2015,"Bowmanshire, WA 19241",-154.29
fffe350031003300,Robert Chaires,0.12,9,,,Aluminium,5.81,16.31,No,No,No,,No,Wealthy,Yes,05/24/15,05/20/15,"East Robyn, KY 86375",-161.16
fffe3900320038003400,Rosalyn Krol,0.15,17,6,324,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,No,12/18/16,12/14/16,"Aprilside, PA 52793",-159.23
fffe3300390039003900,Tracy Francis,0.99,46,19,1178,Wood,6.16,16.88,No,Yes,No,,No,Wealthy,No,08/28/15,08/26/15,"Maddenberg, AL 43096",-1922.78
fffe3800360033003700,David Hawes,0.64,17,9,7264,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,No,06-05-2016,06-02-2016,"South Matthew, WV 76033",-1536.66
fffe3800300039003800,David Osher,0.74,23,10,3287,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,No,06-04-2019,05/31/19,"Davidmouth, CA 37824",-422.42
fffe3800330032003900,Arnold Reel,0,6,4,108,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,Yes,08/27/18,08/23/18,"Lisaville, ND 43925",-160.1
fffe3800310031003800,James Comfort,0.12,23,9,195226,Marble,245.63,49.25,No,No,No,Roadways,No,Working Class,No,07/14/16,07-10-2016,"Jacobland, WV 85997",-834.27
fffe3100350034003800,Greg Mendez,0.14,47,25,40834,Bronze,37.22,85.09,No,No,Yes,,No,Working Class,No,07/29/15,07/27/15,"Brittanyside, GA 80351",-652.66
fffe380031003700,Stacey Carlozzi,0.29,32,9,,Stone,1800.96,56.04,No,No,Yes,Airways,No,Working Class,No,03-01-2016,03-01-2016,"Jacquelinemouth, WA 65740",-4106.98
fffe3900370032003400,Beverly Credeur,0.26,13,6,1534,Bronze,5.87,20.72,No,Yes,No,Airways,No,Working Class,No,10/26/17,10/28/17,"Reidshire, DC 83551",-190.08
fffe3400370033003400,James Davis,0.54,26,9,,Wood,6.47,17.55,No,Yes,Yes,,No,Working Class,No,09/16/18,09/17/18,"West Shannonside, WA 15898",-334.98
fffe310033003100,Patricia Crosslin,0.69,21,6,3954,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,No,04/30/18,05-03-2018,"Kruegerchester, TX 85901",-359.72
fffe3800360036003700,Raul White,0.72,44,12,4991242,Stone,29625.6,84.38,No,No,Yes,Roadways,No,Working Class,Yes,06/24/18,06/26/18,"East Julia, CO 36716",-88316.02
